date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:31:36	7005/7005	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:33%20GMT	https://www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/6?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/69902.html	(from https://www.histag-schaumburg.de/page/page_ID/148?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:37	6819/6819	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:34%20GMT	https://www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/7?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/79902.html	(from https://www.histag-schaumburg.de/page/page_ID/148?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:38	13921/13921	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:35%20GMT	https://www.histag-schaumburg.de/page/page_ID/147/action/117/page/1?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/147/action/117/page/19902.html	(from https://www.histag-schaumburg.de/page/page_ID/147/action/117/call/image/image_ID/1?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:31:39	11222/11222	---MCZ	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2019:31:35%20GMT	https://www.histag-schaumburg.de/page/page_ID/148/action/118/page/1?PHPSESSID=987b35cecd72cf1f8e792479cc1be463	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/page/page_ID/148/action/118/page/19902.html	(from https://www.histag-schaumburg.de/page/page_ID/148/action/118/call/image/image_ID/1?PHPSESSID=987b35cecd72cf1f8e792479cc1be463)
15:32:00	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2019%20Sep%202021%2019:31:39%20GMT	https://www.histag-schaumburg.de/data/pool/d860879681.jpg?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/pool/d860879681d546.jpg	(from https://www.histag-schaumburg.de/page/page_ID/152?PHPSESSID=dcc0c2d7871efe7114b39027ce525895)
15:32:00	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2019%20Sep%202021%2019:31:39%20GMT	https://www.histag-schaumburg.de/data/pool/d801317102.jpg?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/pool/d801317102d546.jpg	(from https://www.histag-schaumburg.de/page/page_ID/150?PHPSESSID=dcc0c2d7871efe7114b39027ce525895)
15:32:01	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2019%20Sep%202021%2019:31:40%20GMT	https://www.histag-schaumburg.de/data/pool/d584705501.jpg?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/pool/d584705501d546.jpg	(from https://www.histag-schaumburg.de/page/page_ID/155?PHPSESSID=dcc0c2d7871efe7114b39027ce525895)
15:32:01	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2019%20Sep%202021%2019:31:40%20GMT	https://www.histag-schaumburg.de/data/pool/d334882701.jpg?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/pool/d334882701d546.jpg	(from https://www.histag-schaumburg.de/page/page_ID/156?PHPSESSID=dcc0c2d7871efe7114b39027ce525895)
15:32:02	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2019%20Sep%202021%2019:32:02%20GMT	https://www.histag-schaumburg.de/data/pool/d354643232.jpg?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/pool/d354643232d546.jpg	(from https://www.histag-schaumburg.de/page/page_ID/157?PHPSESSID=dcc0c2d7871efe7114b39027ce525895)
15:32:02	314/314	UR-MC-	416	error ('Requested%20Range%20Not%20Satisfiable')	text/html	date:Sun,%2019%20Sep%202021%2019:32:02%20GMT	https://www.histag-schaumburg.de/data/pool/d452737850.jpg?PHPSESSID=dcc0c2d7871efe7114b39027ce525895	/home/kurt/websites/Schaumburg%20History/www.histag-schaumburg.de/data/pool/d452737850d546.jpg	(from https://www.histag-schaumburg.de/page/page_ID/158?PHPSESSID=dcc0c2d7871efe7114b39027ce525895)
